sel ,mut ,s_ppq ,e_ppq ,leng ,chan ,pitch ,vel 
FALSE,FALSE,3847,4093,246,9,48,108
FALSE,FALSE,4776,5052,276,9,48,113
FALSE,FALSE,5680,5966,286,9,47,86
FALSE,FALSE,6611,6880,269,9,47,90
FALSE,FALSE,6742,7017,275,9,48,51
FALSE,FALSE,7554,7839,285,9,47,95
FALSE,FALSE,8529,8802,273,9,47,99
FALSE,FALSE,9503,9761,258,9,47,90
FALSE,FALSE,10409,10675,266,9,47,95
FALSE,FALSE,10543,10819,276,9,48,6
FALSE,FALSE,11367,11634,267,9,47,87
FALSE,FALSE,12284,12548,264,9,47,78
FALSE,FALSE,12354,12638,284,9,48,125
FALSE,FALSE,13295,13553,258,9,47,80
FALSE,FALSE,14199,14467,268,9,47,74
FALSE,FALSE,14351,14611,260,9,48,114
FALSE,FALSE,15271,15524,253,9,47,80
FALSE,FALSE,16208,16483,275,9,47,90
FALSE,FALSE,17196,17443,247,9,47,90
FALSE,FALSE,17282,17538,256,9,48,127
FALSE,FALSE,18162,18452,290,9,48,114
FALSE,FALSE,19154,19411,257,9,47,84
FALSE,FALSE,19280,19552,272,9,48,43
FALSE,FALSE,20014,20276,262,9,47,83
FALSE,FALSE,20162,20422,260,9,48,108
FALSE,FALSE,20950,21234,284,9,47,80
FALSE,FALSE,21114,21381,267,9,48,122
FALSE,FALSE,21974,22242,268,9,47,80
FALSE,FALSE,22933,23209,276,9,47,84
FALSE,FALSE,23006,23255,249,9,48,127
FALSE,FALSE,23795,24071,276,9,47,84
FALSE,FALSE,23932,24213,281,9,48,117
FALSE,FALSE,24878,25128,250,9,47,80
FALSE,FALSE,25850,26086,236,9,47,74
FALSE,FALSE,26826,27101,275,9,48,127
FALSE,FALSE,27738,28005,267,9,48,127
FALSE,FALSE,28715,28974,259,9,47,80
FALSE,FALSE,29647,29932,285,9,47,86
FALSE,FALSE,29695,29981,286,9,48,127
FALSE,FALSE,30672,30940,268,9,47,83
FALSE,FALSE,30730,30985,255,9,48,125
FALSE,FALSE,31634,31899,265,9,47,86
FALSE,FALSE,32586,32858,272,9,47,75
FALSE,FALSE,33531,33772,241,9,47,80
FALSE,FALSE,34471,34730,259,9,47,80
FALSE,FALSE,35379,35646,267,9,47,83
FALSE,FALSE,35475,35744,269,9,48,127
FALSE,FALSE,36316,36605,289,9,47,78
FALSE,FALSE,36404,36649,245,9,48,127
FALSE,FALSE,37345,37617,272,9,48,98
FALSE,FALSE,38244,38523,279,9,47,92
FALSE,FALSE,39134,39392,258,9,47,84
FALSE,FALSE,40043,40307,264,9,48,127
FALSE,FALSE,40892,41165,273,9,47,95
FALSE,FALSE,41822,42082,260,9,48,127
FALSE,FALSE,42683,42950,267,9,47,95
FALSE,FALSE,42699,42950,251,9,48,125
FALSE,FALSE,43622,43912,290,9,47,84
FALSE,FALSE,44531,44768,237,9,47,77
FALSE,FALSE,45486,45727,241,9,47,77
FALSE,FALSE,46431,46695,264,9,48,127
FALSE,FALSE,47317,47555,238,9,47,84
FALSE,FALSE,47348,47600,252,9,48,127
FALSE,FALSE,48224,48470,246,9,48,127
FALSE,FALSE,49121,49384,263,9,47,87
FALSE,FALSE,50018,50291,273,9,47,83
FALSE,FALSE,50085,50345,260,9,48,127
FALSE,FALSE,50974,51260,286,9,47,83
FALSE,FALSE,51850,52118,268,9,48,127
FALSE,FALSE,52714,52981,267,9,47,89
FALSE,FALSE,53161,53411,250,9,48,25
FALSE,FALSE,53639,53895,256,9,47,72
FALSE,FALSE,53884,54135,251,9,48,127
FALSE,FALSE,54565,54805,240,9,48,122
FALSE,FALSE,54690,54951,261,9,47,86
FALSE,FALSE,55452,55720,268,9,48,114
FALSE,FALSE,56290,56534,244,9,48,92
FALSE,FALSE,57073,57350,277,9,48,92
FALSE,FALSE,57876,58119,243,9,47,92
FALSE,FALSE,58732,58989,257,9,48,92
FALSE,FALSE,59599,59848,249,9,47,80
FALSE,FALSE,60440,60719,279,9,48,122
FALSE,FALSE,61319,61576,257,9,48,127
FALSE,FALSE,62177,62445,268,9,48,102
FALSE,FALSE,62972,63261,289,9,48,72
FALSE,FALSE,63849,64127,278,9,47,57
FALSE,FALSE,64818,65090,272,9,47,31
FALSE,FALSE,64974,65233,259,9,48,107
FALSE,FALSE,65802,66049,247,9,47,75
FALSE,FALSE,66735,67008,273,9,47,80
FALSE,FALSE,67650,67922,272,9,47,66
FALSE,FALSE,67653,67922,269,9,48,127
FALSE,FALSE,68455,68734,279,9,48,117
FALSE,FALSE,70125,70368,243,9,47,71
FALSE,FALSE,70936,71189,253,9,47,83
FALSE,FALSE,71767,72048,281,9,48,127
FALSE,FALSE,72584,72865,281,9,48,107
FALSE,FALSE,73426,73686,260,9,48,95
FALSE,FALSE,74243,74502,259,9,47,84
FALSE,FALSE,75139,75416,277,9,47,68
FALSE,FALSE,75144,75416,272,9,48,127
FALSE,FALSE,75981,76232,251,9,47,61
FALSE,FALSE,76822,77089,267,9,47,72
FALSE,FALSE,77715,78004,289,9,47,72
FALSE,FALSE,77727,78004,277,9,48,127
FALSE,FALSE,78550,78819,269,9,47,61
FALSE,FALSE,79437,79689,252,9,48,127
FALSE,FALSE,80268,80547,279,9,47,63
FALSE,FALSE,80302,80547,245,9,48,127
FALSE,FALSE,81109,81371,262,9,47,75
FALSE,FALSE,81170,81460,290,9,48,127
FALSE,FALSE,81928,82187,259,9,48,125
FALSE,FALSE,82795,83044,249,9,47,86
FALSE,FALSE,83692,83959,267,9,48,127
FALSE,FALSE,84568,84829,261,9,47,64
FALSE,FALSE,84577,84829,252,9,48,127
FALSE,FALSE,85386,85644,258,9,48,110
FALSE,FALSE,86253,86501,248,9,47,68
FALSE,FALSE,86288,86558,270,9,48,127
FALSE,FALSE,87168,87416,248,9,47,52
FALSE,FALSE,88028,88285,257,9,47,80
FALSE,FALSE,89780,90060,280,9,47,66
FALSE,FALSE,90650,90921,271,9,47,63
FALSE,FALSE,90706,90974,268,9,48,127
FALSE,FALSE,91537,91791,254,9,48,127
FALSE,FALSE,92388,92656,268,9,47,61
FALSE,FALSE,92448,92705,257,9,48,127
FALSE,FALSE,93280,93517,237,9,47,54
FALSE,FALSE,93286,93562,276,9,48,127
FALSE,FALSE,94160,94431,271,9,47,68
FALSE,FALSE,94237,94476,239,9,48,127
FALSE,FALSE,95080,95345,265,9,47,64
FALSE,FALSE,95911,96162,251,9,48,127
FALSE,FALSE,96736,96974,238,9,47,46
FALSE,FALSE,96778,97028,250,9,48,127
FALSE,FALSE,97609,97889,280,9,47,71
FALSE,FALSE,98449,98705,256,9,47,68
FALSE,FALSE,98482,98748,266,9,48,127
FALSE,FALSE,99344,99620,276,9,48,127
FALSE,FALSE,100128,100386,258,9,47,72
FALSE,FALSE,100974,101247,273,9,48,110
FALSE,FALSE,101829,102118,289,9,47,61
FALSE,FALSE,101832,102117,285,9,48,127
FALSE,FALSE,102746,103031,285,9,48,114
FALSE,FALSE,103566,103843,277,9,48,119
FALSE,FALSE,104372,104659,287,9,47,78
FALSE,FALSE,104563,104803,240,9,48,95
FALSE,FALSE,105370,105619,249,9,47,10
FALSE,FALSE,105501,105762,261,9,48,119
FALSE,FALSE,106432,106677,245,9,47,74
FALSE,FALSE,107390,107635,245,9,47,77
FALSE,FALSE,108372,108642,270,9,47,65
FALSE,FALSE,108406,108642,236,9,48,127
FALSE,FALSE,109335,109611,276,9,47,51
FALSE,FALSE,110273,110516,243,9,47,75
FALSE,FALSE,111273,111529,256,9,47,43
FALSE,FALSE,112218,112487,269,9,47,75
FALSE,FALSE,113184,113447,263,9,47,55
FALSE,FALSE,113231,113502,271,9,48,127
FALSE,FALSE,114126,114406,280,9,48,119
FALSE,FALSE,115072,115321,249,9,47,46
FALSE,FALSE,116062,116333,271,9,48,127
FALSE,FALSE,116953,117194,241,9,47,75
